frame,fps,vehicles,people
1,2.4474650091554464,20,0
2,57.33448158020641,21,0
3,58.86990329417379,21,0
4,66.96956730001597,20,0
5,56.970022954783154,19,0
6,56.97466617764918,19,0
7,52.434043404340436,19,0
8,59.00655580878422,19,0
9,58.35553391304348,20,0
10,62.101036422860524,19,0
11,63.44144116890778,17,0
12,72.34427445366266,17,0
13,48.02326566596824,19,0
14,56.49502976751704,19,0
15,41.83760922475362,18,0
16,56.97466617764918,18,0
17,50.228779459666605,19,0
18,51.60061020619064,17,0
19,60.5195007575211,18,0
20,59.87244125959974,18,0
21,44.46604329665204,17,0
22,45.23282323379382,17,0
23,53.86082467607515,17,0
24,67.94485752701236,18,0
25,57.63306584588326,18,0
26,68.43039172499307,18,0
27,58.52898328263236,16,0
28,70.88085983709061,18,0
29,32.0376418827052,17,0
30,69.63002805584607,18,0
31,47.68747299724856,19,0
32,60.35317140554852,20,0
33,70.67066554338669,17,0
34,59.835713368617775,19,0
35,64.10074427276756,18,0
36,59.316146002743565,17,0
37,63.820815581253804,18,0
38,61.619321854615976,17,0
39,64.83797863624419,18,0
40,59.3757644394111,16,0
41,31.630297728575307,16,0
42,66.85002071977304,16,0
43,40.98962140609425,16,0
44,70.14707407221582,18,0
45,46.865826405649415,19,0
46,66.66196220537516,18,0
47,46.8093388688005,17,0
48,29.934084129091193,18,0
49,41.68666699796253,17,0
50,71.673000683527,18,0
51,67.76373271293784,16,0
52,65.16435951215723,16,0
53,61.545179750550254,16,0
54,71.95457274707931,15,0
55,71.63872378219581,18,0
56,68.3233804101712,17,0
57,67.11852906818582,19,0
58,73.96448410249175,16,0
59,58.892221286155575,16,0
60,69.32619295548834,19,0
61,43.8542063110349,17,0
62,61.39293607927517,17,0
63,65.15626116539543,17,0
64,56.85958300572079,16,0
65,68.2977919624829,16,0
66,52.89226850275539,17,0
67,45.1315865927799,17,0
68,65.78165336177287,15,0
69,66.052031496063,16,0
70,66.86067716635847,18,0
71,62.70824985796729,17,0
72,59.45319498780972,18,0
73,57.303932016285486,18,0
74,47.6333159197765,20,0
75,60.654278318462495,17,0
76,47.68422010004547,20,0
77,61.29245517382473,18,0
78,70.99003097337643,17,0
79,61.472116779762864,17,0
80,49.61853047994227,17,0
81,54.16268288588437,17,0
82,54.26639582875109,19,0
83,65.35627025679382,19,0
84,62.647368971337244,18,0
85,55.94867074846265,18,0
86,61.53615023474178,17,0
87,63.44048159240101,18,0
88,52.56415269318495,19,0
89,57.37448019260232,18,0
90,54.97986577181208,19,0
91,60.74387753624238,18,0
92,73.04350249033472,17,0
93,69.18667832340861,19,0
94,71.60814709849248,18,0
95,50.64238970321895,19,0
96,77.82073213722471,16,0
97,70.23870049401323,16,0
98,59.17638759558678,16,0
99,67.96027026589108,16,0
100,65.4164106243274,17,0
101,71.68647558495275,17,0
102,70.27165044314508,17,0
103,71.29653742201975,18,0
104,64.73190832625974,17,0
105,64.9494255009446,16,0
106,71.50072450179847,17,0
107,72.60978100926167,17,0
108,73.83298127024362,17,0
109,44.941539516543806,19,0
110,55.54339592658315,19,0
111,48.931997153423474,20,0
112,55.45673788872435,20,0
113,60.296775492014206,21,0
114,35.701369559851216,21,0
115,54.335289469252395,21,0
116,57.87242497412901,21,0
117,54.61546675000326,20,0
118,47.8005151231965,18,0
119,53.521986575810935,19,0
120,66.49392815244617,19,0
121,67.02307446468521,17,0
122,66.06867872219772,17,0
123,62.69887586701746,18,0
124,61.02847498072082,16,0
125,69.47432584641886,17,0
126,57.75925747414517,17,0
127,57.72984281663776,18,0
128,66.1207554308415,19,0
129,42.354300255480716,18,0
130,26.284876324645456,18,0
131,31.011719125464882,18,0
132,27.26601616080193,18,0
133,28.760021393601118,19,0
134,29.5138657265697,18,0
135,27.83472917192042,18,0
136,30.841150907740612,18,0
137,29.622046131898244,17,0
138,28.113087657680605,17,0
139,29.777036285026657,17,0
140,29.050047789890705,18,0
141,27.85358338203262,17,0
142,27.921261624694612,17,0
143,29.458519454979633,15,0
144,26.930931085185208,19,0
145,26.712079429877914,16,0
146,28.366725280670906,17,0
147,26.55883488997942,18,0
148,24.556239900704902,20,0
149,20.1731669191737,20,0
150,27.25113538167666,18,0
151,18.185974314281502,21,0
152,24.10519540229885,20,0
153,23.597177995566707,17,0
154,5.156438749906259,18,0
155,6.297337713424338,19,0
156,22.041294214710998,19,0
157,25.464162123438204,18,0
158,26.856092766540527,18,0
159,26.72246078568789,18,0
160,26.218332749912488,18,0
161,25.975104351164894,20,0
162,25.021350720937306,18,0
163,21.64489260906811,19,0
164,25.293708992666925,19,0
165,22.99055011072376,20,0
166,25.44377176273613,18,0
167,24.94916544725603,20,0
168,25.33144096100304,20,0
169,24.886842495624055,20,0
170,26.108172373654693,20,0
171,25.53532008158047,19,0
172,26.388730551203892,19,0
173,5.9065719580683504,19,0
174,25.2462079260365,18,0
175,25.924691571686406,18,0
176,22.72867376908821,18,0
177,25.31019334282749,19,0
178,23.350205426831305,18,0
179,24.948275041636926,17,0
180,26.481365263563298,17,0
181,26.61444842793236,18,0
182,24.329050632544273,17,0
183,27.05636010605015,16,0
184,25.890126169724205,17,0
185,26.288006417970315,18,0
186,20.259891317473734,15,0
187,26.69813686736558,15,0
188,27.515360645521042,15,0
189,24.892455058547036,17,0
190,25.785236962308577,18,0
191,5.229629426440756,18,0
192,24.987364244565313,18,0
193,25.66579366050667,18,0
194,26.661818644121666,19,0
195,26.0023185890084,18,0
196,22.32711051491294,18,0
197,25.519007057678266,18,0
198,28.227743828572965,16,0
199,27.409810354066735,17,0
200,25.872718412465378,18,0
201,27.071028869798692,17,0
202,27.543548355321484,17,0
203,27.822358427361312,17,0
204,25.39770504707984,19,0
205,26.15196219027073,18,0
206,27.198122077905236,17,0
207,27.835837536501195,17,0
208,26.915722802266558,18,0
209,4.844465131965724,19,0
210,25.748354778508986,18,0
211,26.639296783700015,16,0
212,28.827029739036007,16,0
213,22.95808291460037,17,0
214,28.158006391149065,18,0
215,26.579199513320322,19,0
216,26.886219407443495,17,0
217,27.753505329954276,18,0
218,25.75863318409885,19,0
219,24.755818139965886,18,0
220,26.842514847429857,19,0
221,27.645394745514704,16,0
222,26.820715806705334,19,0
223,27.282332815132335,18,0
224,23.72008482963382,17,0
225,28.491977447184293,16,0
226,26.854717162339533,16,0
227,13.427143657462985,15,0
228,4.957560026570785,17,0
229,6.680657759768599,17,0
230,6.067261583593832,17,0
231,20.519375559545416,18,0
232,26.52742359846185,18,0
233,20.92558833360773,19,0
234,27.783655597729243,16,0
235,21.56144102648462,16,0
236,27.71517682507797,15,0
237,26.01522096449062,16,0
238,27.452148757085073,16,0
239,23.835877385404,15,0
240,28.013945846301812,15,0
241,26.94667591807365,17,0
242,24.68951389788206,16,0
243,28.070941921321392,16,0
244,27.47480676012053,16,0
245,25.678364148402107,17,0
246,25.505196139836666,18,0
247,26.482702883589365,17,0
248,15.079884518172568,19,0
249,5.9725034139339765,18,0
250,5.115578821038458,18,0
251,5.824313984700133,19,0
252,26.16060725133943,18,0
253,25.89891879542325,19,0
254,26.199171731431107,20,0
255,27.31769333975954,17,0
256,23.624025593655656,19,0
257,26.517025554136584,17,0
258,27.271866628520897,16,0
259,25.213123820286857,17,0
260,28.13213229326662,17,0
261,24.645845942309162,17,0
262,27.798202592720234,16,0
263,26.682681052470862,17,0
264,26.616137322714724,17,0
265,23.580462354951877,16,0
266,27.29262944188861,17,0
267,25.86952686991544,17,0
268,26.293609498614575,18,0
269,4.471448872570812,18,0
270,4.505808569654493,19,0
271,5.411118436075637,20,0
272,5.396185633857903,20,0
273,23.83289769757029,21,0
274,24.368203948362208,20,0
275,25.072504139592436,19,0
276,25.315387308216945,19,0
277,26.118740114331263,17,0
278,25.956457701590445,17,0
279,21.378241035704274,17,0
280,20.627048293498575,17,0
281,25.964813232799713,19,0
282,25.652607887268815,18,0
283,24.982899211969954,22,0
284,25.316762538253066,22,0
285,26.478857590181942,22,0
286,24.08305006890216,22,0
287,25.104919465376994,20,0
288,25.442691367460707,20,0
289,26.314724888637933,18,0
290,4.354741381995478,18,0
291,4.0139415503754305,20,0
292,18.368276073485298,18,0
293,19.820166526476953,19,0
294,22.795378210632723,17,0
295,26.416985255679492,17,0
296,26.481532458676902,18,0
297,27.001493536591646,17,0
298,24.564293578841333,19,0
299,25.257610155304377,21,0
300,26.197698966908597,20,0
301,26.485713022777073,19,0
302,24.07213080883155,19,0
303,27.157442179689724,18,0
304,22.209358601663727,19,0
305,26.42064616915799,18,0
306,19.707204307643153,20,0
307,25.225102992031275,18,0
308,8.690786651886079,19,0
309,4.715753116623793,22,0
310,4.401370895132398,20,0
311,6.291830363906652,19,0
312,6.766217822868287,19,0
313,5.952787062071119,20,0
314,5.402406305184209,20,0
315,24.258694382269418,19,0
316,26.848872416287392,20,0
317,21.568758934907592,16,0
318,26.8480131093814,17,0
319,26.562535227323103,17,0
320,27.770778571570453,17,0
321,26.306802644288062,18,0
322,26.010381073455086,17,0
323,28.136850296508975,15,0
324,28.28866646882672,15,0
325,25.4559711592734,16,0
326,26.54521980177968,17,0
327,27.146720170868257,18,0
328,27.25184362188046,16,0
329,27.070504711501226,18,0
330,26.53648660618254,18,0
331,27.820512990587876,18,0
332,26.989504842186545,18,0
333,5.376768250395152,16,0
334,20.954651505538042,16,0
335,22.264650925768642,17,0
336,27.860428969026284,18,0
337,25.889327136146758,18,0
338,26.032336347668494,18,0
339,26.119716029393448,19,0
340,26.825004157126592,18,0
341,26.825347284402262,17,0
342,27.168524624144162,19,0
