frame,fps,vehicles,people
1,2.3634182445594325,5,0
2,99.28991785621287,4,0
3,101.79114185171703,4,0
4,101.54716250242107,3,0
5,104.02023709141412,3,0
6,81.91200078117372,3,0
7,94.35792220647454,3,0
8,96.56952087122694,3,0
9,90.04710277163528,3,0
10,105.55160178171478,4,0
11,69.04431421610587,3,0
12,93.22540063568269,3,0
13,99.20772032735702,2,0
14,86.91416967134982,4,0
15,104.79734152862105,4,0
16,106.16072287326938,4,0
17,87.08018104056804,2,0
18,109.03925544636822,3,0
19,107.47736066623959,2,0
20,106.72529262086513,2,0
21,102.38000390548721,3,0
22,110.740699669967,3,0
23,52.432077004812804,3,0
24,106.68728697156229,2,0
25,106.01850260350842,3,0
26,105.28928607289889,3,0
27,108.717055469155,3,0
28,58.59603241128807,3,0
29,91.21819882125226,3,0
30,97.72831912018268,3,0
31,84.0744066709429,3,0
32,107.32884669515596,4,0
33,53.02332402058076,4,0
34,103.48129872693181,4,0
35,92.29813172545826,4,0
36,91.5746910615257,5,0
37,85.95237509734005,4,0
38,104.2788523693501,5,0
39,108.60726585359538,2,0
40,64.92228155715502,5,0
41,107.86154400041146,5,0
42,104.57524683354941,5,0
43,84.40602108991386,5,0
44,109.26365696720244,4,0
45,89.800329715032,4,0
46,98.84533264204747,4,0
47,96.23274062177354,4,0
48,73.6372478449411,4,0
49,106.46522489592851,4,0
50,48.59017608897127,5,0
51,105.89002777076496,5,0
52,64.63016780436692,4,0
53,68.60051356700086,4,0
54,105.1283053863699,4,0
55,96.14891227104968,4,0
56,99.8477396624372,4,0
57,84.91353375847758,4,0
58,104.20372164666716,4,0
59,83.90286057211442,4,0
60,91.02617301098138,4,0
61,74.8621914434112,4,0
62,106.32757877658631,3,0
63,87.96963023553346,5,0
64,60.8055205207382,5,0
65,106.2010431964349,4,0
66,112.53230306932818,3,0
67,96.63849592184692,5,0
68,93.73165281129883,4,0
69,85.56311709506323,4,0
70,104.30219083380996,5,0
71,79.82308497478351,4,0
72,105.3951150869434,6,0
73,105.421605589906,4,0
74,62.89914970832146,6,0
75,84.96685843934851,4,0
76,104.07185747605578,5,0
77,68.93310981822962,4,0
78,97.4626234460323,6,0
79,98.85465129981851,5,0
80,91.45887483645879,4,0
81,95.54658526584355,5,0
82,94.18417802528462,4,0
83,79.44058487063904,4,0
84,85.28301579878408,6,0
85,84.95997407227354,4,0
86,75.02824535355884,6,0
87,99.59641915797972,5,0
88,105.04931499987477,4,0
89,92.89915612748898,4,0
90,110.81969985203973,4,0
91,71.55561621400301,5,0
92,87.93274492127718,5,0
93,74.31833726101671,5,0
94,105.91409307845761,5,0
95,96.10485072061957,7,0
96,103.5911976092272,6,0
97,112.43577096289943,4,0
98,101.58897473781093,4,0
99,98.46015164675227,4,0
100,104.42683928793726,4,0
101,86.87996354371647,4,0
102,93.7065236818588,4,0
103,99.81209842463471,4,0
104,90.21948806194881,4,0
105,102.03381419223004,4,0
106,95.6599005610546,4,0
107,103.02883812331123,5,0
108,81.31332635415455,5,0
109,87.7451099349386,5,0
110,96.22611727998532,5,0
111,96.15111640915134,5,0
112,103.72184578861467,4,0
113,98.97828959788559,6,0
114,75.68486773250568,5,0
115,100.69874195716892,5,0
116,66.396036155831,4,0
117,96.1268764467261,3,0
118,104.34370724183397,3,0
119,101.80596616422729,2,0
120,97.28403766757897,4,0
121,111.42617289198236,4,0
122,106.69000076310635,4,0
123,78.10912883161384,3,0
124,97.446772919474,6,0
125,97.27501275569368,4,0
126,91.97631682820929,5,0
127,101.56929410340234,5,0
128,99.25702250514708,5,0
129,96.75888160930147,5,0
130,73.66311315618469,5,0
131,97.42640124503495,5,0
132,97.60778199250657,5,0
133,91.62870562534134,5,1
134,100.57800585103831,5,1
135,59.628154277021935,6,0
136,96.10044678657349,5,1
137,93.33535092794517,5,1
138,79.78057177638712,5,1
139,32.46516092078579,4,1
140,33.057250945775536,5,1
141,27.937999986678122,6,1
142,33.34210944704124,4,1
143,33.42900636810686,5,1
144,34.3204647737501,5,1
145,34.54547251552539,5,1
146,30.88816554974593,5,1
147,30.973474330950552,8,1
148,31.10347793845013,8,0
149,30.33152543353437,7,0
150,27.33692237502444,6,0
151,31.217374477143156,8,0
152,33.1980180779155,5,0
153,33.53457952891888,5,0
154,31.93859462093753,7,0
155,31.578145351332225,7,0
156,32.35646619557503,6,0
157,32.35846320012344,6,0
158,31.35482809918591,5,0
159,31.8549089003486,5,0
160,32.55183546759798,3,0
161,32.511968250031,4,0
162,30.001959928755873,5,1
163,31.63149043356285,4,0
164,8.213013765689558,4,0
165,7.134759614812143,4,1
166,31.473410122687877,4,0
167,31.60836799903539,4,0
168,30.619604178681715,4,0
169,32.376197423368765,4,0
170,31.00140434904726,4,0
171,30.18766238907162,3,0
172,24.157815010856982,3,0
173,29.028735950390345,3,0
174,30.104244721014023,3,0
175,33.057250945775536,3,0
176,32.71305229497329,3,0
177,32.84446602245853,4,0
178,32.0743912883886,3,0
179,32.543248192172804,3,1
180,31.675923058914154,3,0
181,33.20090872390783,3,0
182,34.06901033205536,4,0
183,26.352420803960744,4,0
184,30.256476104598736,4,0
185,7.451374158361314,4,0
186,7.7939600258664905,4,0
187,8.138306252886231,4,0
188,9.05740692752872,3,0
189,20.534042230283802,3,0
190,33.32859742385595,3,0
191,33.24907251799473,3,0
192,34.1244467586566,3,0
193,33.88651989497071,3,0
194,33.30213502505022,3,0
195,32.45611700069643,4,0
196,30.93304226619368,4,0
197,30.319904579462897,4,0
198,34.17950682073765,4,0
199,33.25988248075048,4,0
200,33.380585908588074,4,0
201,25.22616498664806,4,0
202,30.710402999062794,4,0
203,32.95413939674882,4,0
204,33.9589510246051,3,0
205,33.579146251641205,4,0
206,32.85424238626394,4,0
207,33.25091762392878,3,1
208,31.97146102188446,4,0
209,32.30064997073592,3,0
210,28.727322539108517,3,0
211,32.69622157607128,3,0
212,22.44852039969814,3,0
213,29.06836878252975,3,0
214,9.87913190535187,3,0
215,9.108211345567941,3,1
216,7.964982443746878,3,1
217,21.247525354353048,5,1
218,31.075363779154195,5,1
219,32.04767835448551,4,1
220,31.221557242816733,4,1
221,32.39119925244616,4,1
222,30.582542819019007,4,1
223,28.86909358717573,4,1
224,32.36345679012346,4,1
225,30.200704199998558,5,1
226,31.28070044598243,6,2
227,30.646899363578573,5,2
228,29.33182279100668,5,2
229,28.049541235320866,5,2
230,30.601508806233674,5,2
231,25.43729076706613,5,2
232,32.17008874128502,5,2
233,30.0028183723542,5,2
234,31.274636125029826,5,2
235,31.278134484738658,5,1
236,30.40760932606426,6,1
237,7.281752493914952,7,1
238,29.797979510933658,7,2
239,30.22900015135026,7,2
240,30.458175691867517,7,2
241,30.193312457258035,7,2
242,27.639200801307396,7,2
243,29.97944334052864,7,2
244,29.890352971358936,7,2
245,28.76672793613344,7,2
246,29.432473018679914,7,2
247,29.24694233317063,7,2
248,28.933617543787037,6,2
249,29.63355682885989,7,2
250,32.1863820186781,5,2
251,27.517707417564395,6,2
252,31.677597691947494,4,3
253,30.1943992513138,4,2
254,26.92972070626003,3,3
255,31.308720123016286,5,3
256,32.83700902678285,3,3
257,8.085997624886257,4,3
258,8.118992497154494,3,3
259,8.892265943012212,3,3
260,17.72335984179435,3,3
261,28.59941223398815,4,3
262,31.993165522501908,4,3
263,30.16226322829323,6,3
264,31.071450266317996,6,2
265,30.088911526073016,5,3
